"","ID","publication_year","journal","first_author","doi","informal_citation","impact_factor_2016","study_focus","geographic_extent_of_study","tense_description","climate_date_range","climate_date_min","climate_date_max","climate_data_source","citation_type","description_access_to_source","source_sufficient"
"15",15,1980,"American_Naturalist","Kambysellis",NA,"http://www.jstor.org/stable/2460832",4.809,"weather effects","site","implicit past",TRUE,"1967","1972","site data","","",""
"18",18,1980,"American_Naturalist","Caraco",NA,"http://www.jstor.org/stable/2460597",4.809,"weather effects","site","past",TRUE,"1975","1976","site data","","",""
"19",19,1980,"American_Naturalist","Inger",NA,"http://www.jstor.org/stable/2460798",4.809,"weather effects","regional","past",TRUE,"1967","1973","multiple sources","","",""
"22",22,1980,"Nature","Garfinkel","doi:10.1038/286872a0","nature/journal/v286/n5776/pdf/,DanaInfo=www.nature.com+286872a0.pdf",4.809,"weather effects","site","inconsistent",TRUE,"1906","1930","station data","","",""
"23",23,1980,"Ecology","Nobel","10.2307/1937146","http://www.jstor.org/stable/1937146",8.502,"general ecology","site","present",FALSE,NA,NA,"multiple sources","","",""
"36",36,1980,"Ecology","Tobiessen","10.2307/1937150","http://www.jstor.org/stable/1937150",8.502,"general ecology","site","past",FALSE,NA,NA,"site data","","",""
"41",41,1980,"Ecology","DeWoskin","10.2307/1937151","http://www.jstor.org/stable/1937151",8.502,"general ecology","site","past",TRUE,"1978","1978","site data","","",""
"47",47,1980,"Ecology","Janos","10.2307/1937165","http://www.jstor.org/stable/1937165",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"49",49,1980,"Ecology","Coenen-Stass","10.2307/1935180","http://www.jstor.org/stable/1935180",8.502,"weather effects","site","implicit present",FALSE,NA,NA,"site data","","",""
"53",53,1980,"Ecology","Nobel2","10.2307/1935182","http://www.jstor.org/stable/1935182",8.502,"weather effects","site","past",TRUE,"1977","1978","multiple sources","","",""
"56",56,1980,"Ecology","Ferguson","10.2307/1935190","http://www.jstor.org/stable/1935190",5.813,"weather effects","site","unclear",FALSE,NA,NA,"station data","","",""
"62",62,1980,"Ecology","Delcourt","10.2307/1935195","http://www.jstor.org/stable/1935195",5.813,"general ecology","site","present",TRUE,"1931","1955","station data","","",""
"64",64,1980,"Ecology","Reich","10.2307/1935197","http://www.jstor.org/stable/1935197",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"67",67,1980,"Journal_of_Ecology","Taylor","10.2307/2259243","http://www.jstor.org/stable/2259243",5.813,"weather effects","site","past",TRUE,"1966","1970","site data","","",""
"68",68,1980,"Journal_of_Ecology","Smith","10.2307/2259244","http://www.jstor.org/stable/2259244",5.813,"weather effects","site","implicit past",TRUE,"1970","1973","station data","","",""
"69",69,1980,"Journal_of_Ecology","Braswell","10.2307/2259247","http://www.jstor.org/stable/2259247",5.813,"weather effects","site","present",FALSE,NA,NA,"station data","","",""
"71",71,1980,"Journal_of_Ecology","Opler","10.2307/2259250","http://www.jstor.org/stable/2259250",5.813,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"73",73,1980,"Journal_of_Ecology","Solbrig","10.2307/2259420","http://www.jstor.org/stable/2259420",5.813,"weather effects","site","past",TRUE,"1977","1978","site data","","",""
"75",75,1980,"Journal_of_Ecology","Primack","10.2307/2259460","http://www.jstor.org/stable/2259460",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"76",76,1981,"Nature","Ryden","doi:10.1038/292235a0","http://www.nature.com/nature/journal/v292/n5820/pdf/292235a0.pdf",4.809,"weather effects","site","past",TRUE,"1980","1980","site data","","",""
"78",78,1981,"Journal_of_Ecology","Klemow","10.2307/2259814","http://www.jstor.org/stable/2259814",5.813,"general ecology","site","implicit present",FALSE,NA,NA,"station data","","",""
"79",79,1981,"Journal_of_Ecology","Phillips","10.2307/2259818","http://www.jstor.org/stable/2259818",5.813,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"81",111,1990,"American_Naturalist","Kadmon",NA,"http://www.jstor.org/stable/2462253",4.391,"general ecology","site","present",FALSE,NA,NA,"site data","atlas or book","no","no"
"82",82,1981,"Journal_of_Ecology","Kalin Arroyo","10.2307/2259826","http://www.jstor.org/stable/2259826",5.813,"weather effects","regional","present",TRUE,"1979","1980","station data","","",""
"85",85,1981,"Journal_of_Ecology","Douglas","10.2307/2259832","http://www.jstor.org/stable/2259832",5.813,"general ecology","site","implicit past",TRUE,"1975","1976","site data","","",""
"89",89,1981,"Journal_of_Ecology","Cohen","10.2307/2259675","http://www.jstor.org/stable/2259675",5.813,"weather effects","regional","implicit present",FALSE,NA,NA,"station data","","",""
"95",95,1982,"PNAS","Diamond","","http://www.pnas.org/content/79/7/2420.abstract",4.809,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"108",108,1982,"American_Naturalist","McInnis",NA,"http://www.jstor.org/stable/2460931",4.809,"general ecology","site","implicit past",TRUE,"1977","1977","multiple sources","","",""
"109",138,1990,"Ecology","Phillips","10.2307/1940260","http://www.jstor.org/stable/1940260",9.449,"general ecology","site","present",TRUE,"Jun-83","Sep-83","site data","atlas or book","no","unclear"
"111",255,1998,"Diversity_and_Distributions","Pysek","","http://www.jstor.org/stable/2999808",5.813,"climate change effects","regional","implicit present",FALSE,NA,NA,"not_specified","atlas or book","no","no"
"114",114,1990,"American_Naturalist","Stamps",NA," http://www.jstor.org/stable/2462026",4.391,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"117",117,1990,"American_Naturalist","Stephenson",NA,"http://www.jstor.org/stable/2462028",4.391,"general ecology","regional","inconsistent",FALSE,NA,NA,"not_specified","","",""
"122",122,1990,"American_Naturalist","Srygley",NA,"http://www.jstor.org/stable/2462313",4.391,"weather effects","site","unclear",TRUE,"1985","1987","site data","","",""
"131",131,1990,"American_Naturalist","Beissinger",NA,"http://www.jstor.org/stable/2556344",4.391,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"132",186,1991,"Nature","Dawson","10.1038/350335a0","http://www.nature.com/nature/journal/v350/n6316/pdf/350335a0.pdf",9.449,"general ecology","site","present",FALSE,NA,NA,"not_specified","atlas or book","no","no"
"133",133,1990,"Nature","Adams","10.1038/345219a0","http://www.nature.com/nature/journal/v345/n6272/pdf/345219a0.pdf",9.449,"climate change effects","continental","past",TRUE,"1951","1980","station data","","",""
"134",666,2015,"GCB","Leonardi","10.1111/gcb.12681","",9.661,"general ecology","global","implicit past",TRUE,"1970","2006","name_of_GCM","database","yes","yes"
"137",137,1990,"Ecology","Day","10.2307/1940258","http://www.jstor.org/stable/1940258",9.449,"general ecology","site","inconsistent",TRUE,"1986","1987","not_specified","","",""
"138",667,2015,"GCB","Nowacki","10.1111/gcb.12663","",9.661,"climate change effects","continental","implicit present",FALSE,NA,NA,"atlas","database","yes","yes"
"139",139,1990,"Ecology","Carson","10.2307/1940262","http://www.jstor.org/stable/1940262",9.449,"general ecology","site","present",TRUE,"1951","1980","multiple sources","","",""
"140",140,1990,"Ecology","Oates","10.2307/1940272","http://www.jstor.org/stable/1940272",9.449,"general ecology","regional","past",TRUE,"1949","1986","regional","","",""
"142",759,2015,"Journal_of_Ecology","Steinkamp","10.1111/1365-2745.12335","",9.661,"climate change effects","global","implicit past",TRUE,"1901","2006","name_of_GCM","","",""
"143",143,1990,"Journal_of_Ecology","Read","10.2307/2261039","http://www.jstor.org/stable/2261039",40.137,"weather effects","regional","implicit present",FALSE,NA,NA,"multiple sources","","",""
"147",147,1990,"Journal_of_Ecology","Duke","10.2307/2261040","http://www.jstor.org/stable/2261040",40.137,"weather effects","continental","inconsistent",TRUE,"1973","1983","station data","","",""
"153",153,1990,"Journal_of_Ecology","Carlsson","10.2307/2261042","http://www.jstor.org/stable/2261042",40.137,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"163",163,1990,"Journal_of_Ecology","van Wilgen","10.2307/2261046","http://www.jstor.org/stable/2261046",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"169",169,1990,"Journal_of_Ecology","Hegarty","10.2307/2261113","http://www.jstor.org/stable/2261113",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"170",170,1990,"Journal_of_Ecology","Ohsawa","10.2307/2261115","http://www.jstor.org/stable/2261115",40.137,"general ecology","continental","present",FALSE,NA,NA,"station data","","",""
"175",175,1990,"Journal_of_Ecology","Williams-Linera","10.2307/2261117","http://www.jstor.org/stable/2261117",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"176",176,1990,"Journal_of_Ecology","Powell","10.2307/2261118","http://www.jstor.org/stable/2261118",40.137,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"178",178,1990,"Journal_of_Ecology","Fowler","10.2307/2261119","http://www.jstor.org/stable/2261119",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"180",180,1990,"Journal_of_Ecology","Johnson","10.2307/2261120","http://www.jstor.org/stable/2261120",40.137,"climate change effects","regional","present",TRUE,"1950","1980","not_specified","","",""
"182",182,1990,"Journal_of_Ecology","Whitney","10.2307/2261123","http://www.jstor.org/stable/2261123",40.137,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"183",183,1990,"Journal_of_Ecology","Maltby","10.2307/2261126","http://www.jstor.org/stable/2261126",40.137,"general ecology","regional","present",TRUE,"1941","1970","not_specified","","",""
"186",668,2015,"GCB","Wilcox","10.1111/gcb.12673","",9.661,"general ecology","regional","present",FALSE,NA,NA,"not_specified","incomplete","no","no"
"198",504,2010,"Journal_of_Ecology","Tecco","10.1111/j.1365-2745.2009.01592.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01592.x/full",4.391,"general ecology","regional","present",FALSE,NA,NA,"not_specified","multiple","no","no"
"201",201,1992,"PNAS","Daniels","10.1073/pnas.89.12.5311","http://www.pnas.org/content/89/12/5311.full.pdf+html?sid=59da80b8-b2d0-40cb-8001-3fe321b2efd0",4.167,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"211",211,1992,"PNAS","Comstock","10.1073/pnas.89.16.7747","http://www.pnas.org/content/89/16/7747.full.pdf+html?sid=078bc152-f6e0-45ee-a3df-aab21c2a4131",4.167,"general ecology","regional","implicit present",FALSE,NA,NA,"not_specified","","",""
"212",212,1993,"Nature","Hendrick","10.1038/361059a0","http://www.nature.com/nature/journal/v361/n6407/pdf/361059a0.pdf",9.449,"general ecology","site","past",TRUE,"1989","1990","site data","","",""
"216",526,2010,"PNAS","Forister","10.1073/pnas.0909686107","http://www.pnas.org/content/107/5/2088.full.pdf",4.809,"climate change effects","regional","implicit past",TRUE,"1970","2007","multiple sources","multiple","yes","yes"
"227",227,1995,"GCB","POLLARD","10.1111/j.1365-2486.1995.tb00010.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00010.x/abstract",4.167,"weather effects","regional","past",TRUE,"1900","1960","not_specified","","",""
"233",233,1995,"GCB","SELIGMAN","10.1111/j.1365-2486.1995.tb00016.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00016.x/abstract",4.167,"climate change effects","global","implicit present",FALSE,NA,NA,"not_specified","","",""
"235",235,1995,"GCB","VICTORIA","10.1111/j.1365-2486.1995.tb00018.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00018.x/abstract",4.167,"climate change effects","site","present",FALSE,NA,NA,"not_specified","","",""
"237",237,1995,"GCB","MASSMAN","10.1111/j.1365-2486.1995.tb00020.x","http://onlinelibrary.wiley.com/store/10.1111/j.1365-2486.1995.tb00020.x/asset/j.1365-2486.1995.tb00020.x.pdf?v=1&t=i4nb07ql&s=2fd5660aa57b628911415c10a3e425f36a76eb70",4.167,"general ecology","site","implicit past",FALSE,NA,NA,"not_specified","","",""
"240",240,1995,"GCB","ETTL","10.1111/j.1365-2486.1995.tb00023.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00023.x/abstract",4.167,"climate change effects","regional","present",TRUE,"1895","1990","station data","","",""
"246",246,1995,"GCB","ZHOU","10.1111/j.1365-2486.1995.tb00029.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00029.x/abstract",4.167,"weather effects","regional","implicit past",TRUE,"1965","1995","station data","","",""
"249",249,1995,"GCB","WILKS","10.1111/j.1365-2486.1995.tb00032.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00032.x/abstract",4.167,"climate change effects","continental","implicit past",TRUE,"1952","1974","station data","","",""
"252",252,1995,"GCB","JONGEN","10.1111/j.1365-2486.1995.tb00034.x","http://onlinelibrary.wiley.com/store/10.1111/j.1365-2486.1995.tb00034.x/asset/j.1365-2486.1995.tb00034.x.pdf?v=1&t=i4nd2xmw&s=4ffdaae6aff7a6087bda9620e6ed102891ce33f1",4.167,"general ecology","site","implicit past",TRUE,"1993","1993","station data","","",""
"253",253,1995,"GCB","KIMBALL","10.1111/j.1365-2486.1995.tb00041.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00041.x/abstract",4.167,"general ecology","site","past",TRUE,"1993","1993","site data","","",""
"254",254,1995,"GCB","GRANT","10.1111/j.1365-2486.1995.tb00042.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00042.x/abstract",4.167,"weather effects","site","past",TRUE,"1993","1993","site data","","",""
"255",568,2010,"American_Naturalist","Siewert","10.1086/656271","http://www.jstor.org/stable/10.1086/656271",8.502,"weather effects","regional","present",TRUE,"1978","2008","multiple sources","multiple","no","unclear"
"257",257,1998,"Diversity_and_Distributions","Iverson","10.1046/j.1472-4642.1998.00007.x","http://www.jstor.org/stable/2999798",5.813,"weather effects","regional","implicit past",TRUE,"1941","1970","station data","","",""
"259",259,1998,"Diversity_and_Distributions","Yom-Tov","10.1046/j.1472-4642.1998.00012.x","http://www.jstor.org/stable/2999799",5.813,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"260",260,1998,"Diversity_and_Distributions","Milton","10.1046/j.1472-4642.1998.00024.x","http://www.jstor.org/stable/2999790",5.813,"general ecology","regional","implicit past",FALSE,NA,NA,"not_specified","","",""
"261",261,1999,"Ecology_Letters","Oberdorff","10.1046/j.1461-0248.1999.t01-2-22051.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.1999.t01-2-22051.x/abstract",4.391,"general ecology","global","implicit present",FALSE,NA,NA,"not_specified","","",""
"263",570,2010,"Ecology","Bridgeland","10.2307/25661025","http://www.jstor.org/stable/25661025",5.813,"general ecology","site","past",FALSE,NA,NA,"station data","multiple","yes","yes"
"265",265,1999,"Diversity_and_Distributions","Lavorel","10.1046/j.1472-4642.1999.00034.x","http://www.jstor.org/stable/2673312",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"271",271,1999,"Diversity_and_Distributions","Honnay","10.1046/j.1472-4642.1999.00047.x","http://www.jstor.org/stable/2673405",5.813,"general ecology","site","inconsistent",FALSE,NA,NA,"station data","","",""
"272",272,1999,"Diversity_and_Distributions","Vlok","10.1046/j.1472-4642.1999.00055.x","http://www.jstor.org/stable/2673300",5.813,"general ecology","site","inconsistent",FALSE,NA,NA,"station data","","",""
"274",274,1999,"Diversity_and_Distributions","Kondo","10.1046/j.1472-4642.1999.00056.x","http://www.jstor.org/stable/2673301",5.813,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"277",277,1999,"Diversity_and_Distributions","Gottfried","10.1046/j.1472-4642.1999.00058.x","http://www.jstor.org/stable/2673338",5.813,"climate change effects","site","past",TRUE,"Aug-97","Aug-98","site data","","",""
"278",278,2000,"Journal_of_Ecology","Donovan","10.1046/j.1365-2745.2000.00411.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00411.x/full",4.167,"general ecology","site","past",FALSE,NA,NA,"station data","","",""
"279",279,2000,"Journal_of_Ecology","Austin","10.1046/j.1365-2745.2000.00437.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00437.x/full",4.167,"general ecology","regional","present",FALSE,NA,NA,"atlas","","",""
"280",280,2000,"Journal_of_Ecology","Sherman","10.1046/j.1365-2745.2000.00439.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00439.x/full",4.167,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"281",281,2000,"Journal_of_Ecology","Cabin","10.1046/j.1365-2745.2000.00443.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00443.x/full",4.167,"weather effects","site","past",TRUE,"1993","1993","not_specified","","",""
"282",282,2000,"Journal_of_Ecology","Rousset","10.1046/j.1365-2745.2000.00457.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2745.2000.00457.x/full",4.167,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"283",283,2000,"PNAS","Inouye","10.1073/pnas.97.4.1630","http://www.pnas.org/content/97/4/1630.full",4.391,"climate change effects","site","past",TRUE,"1975","1999","multiple sources","","",""
"284",284,2000,"PNAS","Nakano","10.1073/pnas.98.1.166","http://www.pnas.org/content/98/1/166.full",4.391,"general ecology","site","past",TRUE,"1997","1998","site data","","",""
"285",285,2000,"Nature","Barber","10.1038/35015049","www.nature.com/nature/journal/v405/n6787/full/405668a0.html",4.391,"climate change effects","regional","implicit past",TRUE,"1906","1998","station data","","",""
"291",291,2000,"Nature","Oechel","10.1038/35023137","www.nature.com/nature/journal/v406/n6799/full/406978a0.html",4.391,"climate change effects","regional","past",TRUE,"1960","1998","regional","","",""
"296",296,2000,"Nature","Smith","10.1038/35040544","http://www.nature.com/nature/journal/v408/n6808/full/408079a0.html",4.391,"weather effects","site","implicit present",TRUE,"1998","1998","not_specified","","",""
"297",307,2000,"Nature","Karels","10.1038/35044064","http://www.nature.com/nature/journal/v408/n6811/full/408460a0.html",4.391,"general ecology","site","implicit present",FALSE,NA,NA,"station data","","",""
"302",312,2000,"Nature","Kiesecker","10.1038/35070500","http://www.nature.com/nature/journal/v410/n6829/full/410681a0.html",4.391,"weather effects","regional","implicit past",TRUE,"1990","1999","multiple sources","","",""
"309",319,2000,"Ecology_Letters","Lord","10.1046/j.1461-0248.2000.00150.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00150.x/pdf",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"316",326,2000,"Ecology_Letters","Curtin","10.1046/j.1461-0248.2000.00166.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00166.x/pdf",4.809,"weather effects","regional","implicit past",TRUE,"1867","1992","station data","","",""
"318",328,2000,"Ecology_Letters","Prieur-Richard","10.1046/j.1461-0248.2000.00157.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2000.00157.x/pdf",4.809,"general ecology","site","past",FALSE,NA,NA,"not_specified","","",""
"319",329,2000,"Ecology_Letters","Rillig","10.1111/j.1461-0248.2000.00178.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1461-0248.2000.00178.x/pdf",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"321",331,2000,"Ecology","Connell","","http://dx.doi.org/10.1890/0012-9658(2000)081[0568:SDOTTY]2.0.CO;2",4.809,"climate change effects","site","inconsistent",TRUE,"1968","1998","station data","","",""
"322",332,2000,"Ecology","Herwitz","","http://dx.doi.org/10.1890/0012-9658(2000)081[0585:LTSACA]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"324",334,2000,"Ecology","McLachlan","","http://dx.doi.org/10.1890/0012-9658(2000)081[0717:ATTLSS]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"327",337,2000,"Ecology","Cater","","http://dx.doi.org/10.1890/0012-9658(2000)081[1086:DEOCOM]2.0.CO;2",4.809,"general ecology","site","past",TRUE,"1988","1997","multiple sources","","",""
"334",344,2000,"Ecology","Garten","","http://dx.doi.org/10.1890/0012-9658(2000)081[1108:CCOFSC]2.0.CO;2",4.809,"general ecology","site","inconsistent",FALSE,NA,NA,"multiple sources","","",""
"346",356,2000,"Ecology","Hansen","","http://dx.doi.org/10.1890/0012-9658(2000)081[1120:EOHCAC]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"347",357,2000,"Ecology","Grosholz","","http://dx.doi.org/10.1890/0012-9658(2000)081[1120:EOHCAC]2.0.CO;2",4.809,"weather effects","site","past",TRUE,"1968","1996","station data","","",""
"348",358,2000,"Ecology","Bradshaw","","http://dx.doi.org/10.1890/0012-9658(2000)081[1262:ATTTCO]2.0.CO;2",4.809,"weather effects","regional","implicit present",FALSE,NA,NA,"multiple sources","","",""
"350",360,2000,"Ecology","Gebauer","","http://dx.doi.org/10.1890/0012-9658(2000)081[1415:WANUPF]2.0.CO;2",4.809,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"356",366,2000,"Ecology","Egerton","","http://dx.doi.org/10.1890/0012-9658(2000)081[1437:FOSERI]2.0.CO;2",4.809,"general ecology","site","present",FALSE,NA,NA,"regional","","",""
"367",377,2000,"Ecology","Niklasson","","http://dx.doi.org/10.1890/0012-9658(2000)081[1484:NASOFL]2.0.CO;2",4.809,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"371",381,2000,"Ecology","Bergeron","","http://dx.doi.org/10.1890/0012-9658(2000)081[1500:SASDIT]2.0.CO;2",4.809,"general ecology","site","present",TRUE,"1961","1990","station data","","",""
"372",382,2000,"Diversity_and_Distributions","Harrison","10.1046/j.1472-4642.2000.00082.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00082.x/abstract",8.502,"general ecology","regional","implicit present",TRUE,"1961","1990","name_of_GCM","","",""
"373",383,2000,"Diversity_and_Distributions","Lambrinos","10.1046/j.1472-4642.2000.00086.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00086.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"375",385,2000,"Diversity_and_Distributions","Vlok","10.1046/j.1472-4642.2000.00087.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2000.00087.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"376",386,2000,"GCB","Camill","10.1046/j.1365-2486.2000.00293.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00293.x/abstract",5.813,"climate change effects","regional","present",TRUE,"1951","1980","station data","","",""
"377",387,2000,"GCB","Grant","10.1046/j.1365-2486.2000.00288.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00288.x/abstract",5.813,"climate change effects","site","past",TRUE,"1994","1996","station data","","",""
"380",390,2000,"GCB","White","10.1046/j.1365-2486.2000.00302.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00302.x/abstract",5.813,"climate change effects","continental","past",TRUE,"1860","2100","name_of_GCM","","",""
"382",392,2000,"GCB","Rodó","10.1046/j.1365-2486.2000.00299.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00299.x/abstract",5.813,"climate change effects","regional","inconsistent",TRUE,"1964","1994","station data","","",""
"384",394,2000,"GCB","Pendall","10.1046/j.1365-2486.2000.00304.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00304.x/abstract",5.813,"weather effects","regional","present",TRUE,"1903","1996","multiple sources","","",""
"385",395,2000,"GCB","Starr","10.1046/j.1365-2486.2000.00316.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00316.x/full",5.813,"weather effects","site","past",TRUE,"1995","1996","station data","","",""
"398",408,2000,"GCB","Roy","10.1046/j.1365-2486.2000.00322.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00322.x/abstract",5.813,"climate change effects","regional","past",TRUE,"1659","1998","regional","","",""
"399",409,2000,"GCB","Osborne","10.1046/j.1365-2486.2000.00336.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00336.x/full",5.813,"climate change effects","regional","past",TRUE,"1901","1995","multiple sources","","",""
"403",413,2000,"GCB","Griffis","10.1046/j.1365-2486.2000.00330.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00330.x/full",5.813,"general ecology","site","implicit present",FALSE,NA,NA,"not_specified","","",""
"405",415,2000,"GCB","Kleidon","10.1046/j.1365-2486.2000.00332.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00332.x/full",5.813,"general ecology","global","implicit present",FALSE,NA,NA,"name_of_GCM","","",""
"406",416,2000,"GCB","Rupp","10.1046/j.1365-2486.2000.00337.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00337.x/full",5.813,"climate change effects","regional","present",FALSE,NA,NA,"not_specified","","",""
"409",419,2000,"GCB","Tuittila","10.1046/j.1365-2486.2000.00341.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2000.00341.x/full",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
